Language,Dataset,AutotypMatch,Action
Kisi,Reflex,kiz,
Kaado,Reflex,NA,
Gbaya,Reflex,gbp,
Maʼdi,Reflex,mhi,
Timne,Reflex,tem,
Gevia,Reflex,NA,
Kabiyè,Reflex,kbp,
Yoómbe,Reflex,NA,
Kanuri,Reflex,"kau, knc",
Nembe,Reflex,NA,
Mandinka,Reflex,mnk,
Kisi,Reflex,kiz,
Erzya Mordvin,IDS,myv,
Estonian,IDS,est,
Finnish,IDS,fin,
Hungarian,IDS,hun,
Khanty,IDS,kca,
Komi,IDS,kpv,
Northern Saami,IDS,sme,
Mansi,IDS,mns,
Mari,IDS,mhr,
Nenets,IDS,yrk,
Selkup,IDS,sel,
Udmurt,IDS,udm,
Ancient Greek,IDS,grc,
Modern Greek,IDS,ell,
Latin,IDS,lat,
Italian,IDS,ita,
French,IDS,fra,
Panare,IDS,pbh,
Macushi,IDS,mbc,
Wai Wai,IDS,waw,
Spanish,IDS,spa,
Catalan,IDS,cat,
Portuguese,IDS,por,
Romanian,IDS,ron,
Old Irish,IDS,NA,
Irish,IDS,gle,
Welsh,IDS,cym,
Breton,IDS,bre,
Gothic,IDS,got,
Old Norse,IDS,NA,
Danish,IDS,dan,
Swedish,IDS,swe,
Old English,IDS,ang,
Middle English,IDS,NA,
English,IDS,eng,
Dutch,IDS,nld,
Old High German,IDS,goh,
Middle High German,IDS,NA,
German,IDS,deu,
Yiddish,IDS,ydd,
Lithuanian,IDS,lit,
Latvian,IDS,lav,
Old Church Slavonic,IDS,NA,
Bulgarian,IDS,bul,
Serbo-Croatian,IDS,hrv; srp,
Czech,IDS,ces,
Polish,IDS,pol,
Russian,IDS,rus,
Albanian (Tosk variety),IDS,NA,
Armenian (Eastern variety),IDS,hye,
Armenian (Western variety),IDS,hye,
Hittite,IDS,NA,
Tocharian A,IDS,NA,
Tocharian B,IDS,NA,
Sanskrit,IDS,NA,
Romani,IDS,rmy,
Avestan,IDS,ave,
Persian,IDS,pes,
Ancient Aramaic,IDS,NA,
Negerhollands,IDS,dcr,
Jamaican Creole (Limonese Creole dialect),IDS,jam,
Basque,IDS,eus,
Hausa,IDS,hau,
Polci,IDS,plj,
Nahuatl (Sierra de Zacapoaxtla variety),IDS,azz,
Chatino (Zacatepec variety),IDS,ctp,
Karok,IDS,kyh,
Seri,IDS,sei,
Zuni,IDS,zun,
Hawaiian,IDS,haw,
Maori,IDS,mri,
Rapa Nui,IDS,rap,
Rotuman,IDS,rtm,
Tongan,IDS,ton,
Tuamotuan,IDS,pmt,
Muisca,IDS,chb,
Páez,IDS,pbb,
Cayapa,IDS,cbi,
Colorado,IDS,cof,
Embera,IDS,emp,
Epena,IDS,sja,
Puinave,IDS,pui,
Yuwana,IDS,yau,
Yaruro,IDS,yae,
Ninam (Shirishana variety),IDS,shb,
Yanomámi,IDS,wca,
Cofán,IDS,con,
Waorani,IDS,auc,
Siona,IDS,snn,
Tuyuca,IDS,tue,
Aguaruna,IDS,agr,
Yagua,IDS,yad,
Goajiro,IDS,guc,
Ignaciano,IDS,ign,
Trinitario,IDS,trn,
Wapishana,IDS,wap,
Waurá,IDS,wau,
Yavitero,IDS,yvt,
Aymara,IDS,ayr,
Chipaya,IDS,cap,
Mosetén,IDS,cas,
Araona,IDS,aro,
Cavineña,IDS,cav,
Ese Ejja,IDS,ese,
Ese Ejja (Huarayo),IDS,ese,
Tacana,IDS,tna,
Cashibo,IDS,iru,
Catuquina,IDS,kav,
Chácobo,IDS,cao,
Shipibo-Conibo,IDS,shp,
Yaminahua,IDS,yaa,
Cayuvava,IDS,cyb,
Itonama,IDS,ito,
Movima,IDS,mzp,
Mundurukú,IDS,myu,
Aché,IDS,guq,
Chiriguano,IDS,gui,
Guaraní,IDS,gug,
Sirionó,IDS,srq,
Wayampi,IDS,oym,
Kaingáng,IDS,kgp,
Trumai,IDS,tpy,
Ayoreo,IDS,ayo,
Sanapaná (Angaité dialect),IDS,sap,
Sanapaná (Enlhet dialect),IDS,sap,
Lengua,IDS,leg,
Mocoví,IDS,moc,
Pilagá,IDS,plg,
Chorote,IDS,crq; crt,
Maca,IDS,mca,
Wichí,IDS,mzh,
Nivaclé,IDS,cag,
Kunza,IDS,kuz,
Mapudungun,IDS,arn,
Tehuelche,IDS,teh,
Selknam,IDS,ona,
GÌ_nÌ_na KÌ_ne,IDS,pue,
Qawasqar,IDS,alc,
Toba,IDS,tob,
Yagán,IDS,yah,
Uncunwee,IDS,ghl,
Central Thai,IDS,tha,
Southern Tai (Songkhla variety),IDS,tha,
Thai (Korat variety),IDS,tha,
Khamuang (Chiang Mai variety),IDS,nod,
Dehong,IDS,tdd; thi,
Tai Lü,IDS,khb,
Tai Khün,IDS,kkh,
Shan,IDS,shn,
Shan (Northern Shan dialect),IDS,shn,
Nung-Fengshan,IDS,zgn,
Nung-Lazhai,IDS,zgn,
Nung-Ninbei,IDS,nut,
Zhuang-Longzhou,IDS,zzj,
Sui,IDS,swi,
Lakkia,IDS,lbc,
Hlai (Baoting variety),IDS,lic,
Langja Buyang,IDS,yzg,
Ecun Buyang,IDS,yln,
Sanchong Kelao,IDS,giq,
Qau Kelao,IDS,gqu,
Bengali,IDS,ben,
Hindi,IDS,hin,
Mahasu Pahari (Kotghari dialect),IDS,bfz,
Marathi,IDS,mar,
Nepali,IDS,nep,
Punjabi,IDS,pnb,
Tamil,IDS,tam,
Telugu,IDS,tel,
Tibetan,IDS,bod,
Kme-2 (Kemie variety),IDS,mml,
Bulang,IDS,blr,
Bulang-2,IDS,blr,
Bulang-3,IDS,blr,
Keme (Kemie variety),IDS,mml,
Xu,IDS,huo,
Mang'an B. (MNN),IDS,NA,
Wa,IDS,wbm,
Rumai,IDS,rbb,
Prai,IDS,pry,
Pusing,IDS,bgk,
Paliu,IDS,ply,
Mlabri,IDS,mra,
Cuoi,IDS,NA,
Tho Mun (THM),IDS,NA,
LiHa,IDS,NA,
Phong,IDS,pnx,
TUL,IDS,NA,
Tum,IDS,NA,
Phu Tho M (PHU),IDS,NA,
Kha Poong,IDS,NA,
Malieng,IDS,NA,
Ahlao Th,IDS,thm,
Nyakur,IDS,cbn,
Pear,IDS,pcb,
SAN,IDS,NA,
Kasong,IDS,syo,
Samre,IDS,sxm,
Chong,IDS,cog,
KNB (a Pearic variety),IDS,NA,
Surin Khmer,IDS,khm,
CHNG (a Pearic variety),IDS,NA,
Iduh,IDS,tyh,
Mang Ch,IDS,zng,
Mang VN,IDS,NA,
Tlingit,IDS,tli,
Proto Polynesian,IDS,NA,
Vietnamese,IDS,vie,
De'kwana,IDS,mch,
Northern Haida,IDS,hdn,
